albumid	picid	caption
2	001025dd643b0eb0661e359de86e3ea9	
1	01e37cbdd55913df563f527860b364e8	
4	09d8a979fa638125b02ae1578eb943fa	
4	143ba34cb5c7e8f12420be1b576bda1a	
3	28d38afca913a728b2a6bcf01aa011cd	
1	298e8943ef1942159ef88be21c4619c9	
1	2e9e69e19342b98141789925e5f87f60	
3	39ee267d13ccd32b50c1de7c2ece54d6	
4	4ddba6e2f905e9778c6b6a48b6fc8e03	
2	5e8b6207f007338243d3e29d6b82acab	
1	5f8d7957874f1303d8300e50f17e46d6	
3	5fb04eb11cbf99429a05c12ce2f50615	
3	6510a4add59ef655ae3f0b6cdb24e140	
4	65fb1e2aa4977d9414d1b3a7e4a3badd	
3	76d79b81b9073a2323f0790965b00a68	
1	8d554cd1d8bb7b49ca798381d1fc171b	
2	9a0a7d25af4f7a73f67dde74e8e54cff	
3	aaaadd578c78d21defaa73e7d1f08235	
3	abf97ffd1f964f42790fb358e5258e8d	
3	adb5c3af19664129141268feda90a275	
3	b7d833dd3aae203ca618759fc6f4fc01	
1	b94f256c23dec8a2c0da546849058d9e	
3	bac4fca50bed35b9a5646f632bf4c2e8	
1	bf755d13bb78e1deb59ef66b6d5c6a70	
2	c8e60100f13ffe374d59e39dc4b6a318	
1	cefe45eaeaeb599256dda325c2e972da	
4	e615a10fc4222ede59ca3316c3fb751c	
3	ea2db8b970671856e43dd011d7df5fad	
3	f5b57bd7a2c962c54d55b5ddece37158	
3	faa20c04097d40cb10793a19246f2754	
